tool			synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set			PAYNT-AR-MDP-Eval	PAYNT-AR-MDP-Eval	PAYNT-AR-MDP-Eval	PAYNT-AR-MDP-Eval	PAYNT-AR-MDP-Eval	SMPMC	SMPMC	SMPMC	SMPMC	SMPMC	SMT(LRA)	SMT(LRA)	SMT(LRA)	SMT(LRA)	SMT(LRA)	PAYNT-AR-1-by-1	PAYNT-AR-1-by-1	PAYNT-AR-1-by-1	PAYNT-AR-1-by-1	PAYNT-AR-1-by-1
benchmarks/files/robust-q3/			status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations
mdp-families-unsat_mem_1_rover-1000-big-family_1.yml	unsat	false	false	3.032154	3.186963642016053	524.070912	1	false	77.800895	78.53766403347254	954.466304	3	TIMEOUT	1800.684266	1800.9248856557533	1191.542784		false	17.449851	17.590133104473352	4933.541888	1
mdp-families-unsat_mem_1_rover-1000_1.yml	unsat	false	false	0.752583	0.877416648901999	172.101632	1	false	14.116203	15.038214160129428	296.075264	3	TIMEOUT	1800.664158	1800.9341004788876	876.756992		false	1.056344	1.2027330668643117	172.761088	1
mdp-families-unsat_mem_1_uav-operator-roz-workload-big-family_1.yml	unsat	false	false	1.877064	2.001222782768309	347.086848	1	TIMEOUT	1801.647495	1802.7338206991553	14853.795840		TIMEOUT	1800.723766	1800.951897053048	1749.147648		false	10.053046	10.203729163855314	1835.184128	1
mdp-families-unsat_mem_1_uav-operator-roz-workload_1.yml	unsat	false	false	1.071957	1.1856455923989415	245.178368	1	TIMEOUT	1801.108949	1802.115971006453	7306.797056		TIMEOUT	1800.690602	1800.9218972381204	1277.960192		false	1.684926	1.8384530944749713	245.891072	1
mdp-families-unsat_mem_1_uav-roz-big-family_1.yml	unsat	false	false	2.377432	2.5176348881796002	595.881984	1	OUT OF MEMORY	989.067315	990.0954744052142	16000.000000		TIMEOUT	1800.98284	1801.2123710028827	5651.890176		false	4.079126	4.230557375587523	598.798336	1
mdp-families-unsat_mem_1_uav-roz_1.yml	unsat	false	false	1.701483	1.8145403256639838	308.260864	36	TIMEOUT	1800.943191	1802.7194381188601	6628.704256		TIMEOUT	1800.695846	1800.9492287458852	1398.607872		false	2.038954	2.18360208068043	246.665216	21
mdp-families-unsat_mem_1_virus-big-family_1.yml	unsat	false	unknown	2.313776	2.4278171453624964	320.413696		false	128.318487	129.09984554816037	546.672640	3447	TIMEOUT	1800.629015	1800.9064676295966	403.566592		false	12.4678	12.607326418161392	309.592064	1682
other-unsat_box-pushing.yml	unsat	false	TIMEOUT	1800.626804	1800.9835790703073	307.179520		false	265.449464	266.7070569768548	357.339136	8247	TIMEOUT	1800.645851	1800.9668746273965	1675.722752		TIMEOUT	1800.610864	1800.8421040149406	291.438592	
other-unsat_dpm.yml	unsat	false	TIMEOUT	1800.652849	1800.9340827288106	2621.476864		false	159.655005	160.90394410304725	1346.531328	2363	TIMEOUT	1800.682531	1800.9353264598176	3552.325632		TIMEOUT	1800.612694	1800.8182143429294	1359.597568	
other-unsat_maze.yml	unsat	false	false	0.762991	0.9545528795570135	136.097792	169	false	12.540938	13.383080398663878	170.811392	8523	TIMEOUT	1800.623574	1800.8445890257135	244.408320		false	0.532988	0.7038898365572095	136.138752	171
pomdp-families-unsat_mem_1_avoid_1.yml	unsat	false	false	2.38244	2.5724998135119677	199.774208	10	false	22.942462	23.920733837410808	264.155136	10	false	1649.756792	1649.9882914191112	3539.304448		false	2.48523	2.6472022952511907	199.909376	29
pomdp-families-unsat_mem_1_dpm-switch-q10_1.yml	unsat	false	false	215.406462	215.68931169062853	136.003584	66799	false	6.213766	7.8619365859776735	176.119808	125	TIMEOUT	1800.615673	1800.892874069512	449.458176		false	655.52713	655.7106513120234	136.335360	694973
pomdp-families-unsat_mem_1_dpm_1.yml	unsat	false	TIMEOUT	1800.604988	1800.9718665387481	143.384576		false	6.578806	7.809556384570897	180.842496	334	TIMEOUT	1800.621868	1800.8709215130657	807.612416		false	598.072914	598.2587047889829	268.353536	558265
pomdp-families-unsat_mem_1_obstacles-8-3_1.yml	unsat	false	false	0.401264	0.6804760005325079	136.175616	16	false	3.248803	4.1699737617745996	171.782144	25	false	3.489944	3.71729217749089	195.686400		false	0.458947	0.6085752341896296	136.503296	12
pomdp-families-unsat_mem_1_obstacles-8-6_1.yml	unsat	false	false	0.457086	0.7264186711981893	136.228864	16	false	4.197592	5.423270856030285	172.236800	25	false	5.304731	5.573329851031303	215.838720		false	0.621833	0.7860382758080959	184.008704	12
pomdp-families-unsat_mem_1_obstacles-maze-4-2_1.yml	unsat	false	TIMEOUT	1800.609915	1800.9469311172143	136.282112		false	4.23256	5.772849092260003	171.630592	47	false	169.298909	169.6312234783545	2922.995712		false	0.510645	0.6524859480559826	136.376320	909
pomdp-families-unsat_mem_1_obstacles-maze-4_1.yml	unsat	false	TIMEOUT	1800.611444	1800.9309967858717	136.310784		false	4.994402	6.658009920269251	171.528192	51	false	71.349164	71.6226606760174	1510.264832		false	0.523594	0.6675239866599441	136.359936	1184
pomdp-families-unsat_mem_2_avoid_2.yml	unsat	false	true	910.691525	910.9409524453804	450.854912	30601	TIMEOUT	1800.643726	1801.8343648966402	686.710784		TIMEOUT	1800.670409	1800.9806725662202	2624.282624		TIMEOUT	1800.627157	1800.8710058052093	342.097920	
pomdp-families-unsat_mem_2_dpm-switch-q10_2.yml	unsat	false	TIMEOUT	1800.613621	1800.8843583241105	137.441280		false	1330.086124	1331.7195557719097	862.199808	284920	TIMEOUT	1800.915598	1801.2600880870596	3866.345472		TIMEOUT	1800.612821	1800.824832235463	137.359360	
pomdp-families-unsat_mem_2_dpm_2.yml	unsat	false	TIMEOUT	1800.612509	1800.9112686105072	198.537216		TIMEOUT	1800.654139	1801.7236488731578	928.800768		TIMEOUT	1800.682185	1801.0376350199804	1425.596416		TIMEOUT	1800.626707	1800.8343181274831	305.471488	
pomdp-families-unsat_mem_2_obstacles-8-3_2.yml	unsat	false	TIMEOUT	1800.613207	1800.8846739791334	136.019968		TIMEOUT	1800.863873	1802.134758352302	2750.218240		OUT OF MEMORY	83.068487	89.56159554142505	16000.000000		TIMEOUT	1800.614691	1800.792159160599	137.867264	
pomdp-families-unsat_mem_2_obstacles-8-6_2.yml	unsat	false	TIMEOUT	1800.617606	1800.8277490912005	136.306688		TIMEOUT	1800.809357	1801.812830042094	2504.237056		OUT OF MEMORY	51.697491	52.420996529981494	16000.000000		TIMEOUT	1800.623111	1800.806370390579	187.011072	
pomdp-families-unsat_mem_2_obstacles-maze-4-2_2.yml	unsat	false	TIMEOUT	1800.61359	1800.8261554054916	136.728576		false	28.205589	29.403381794691086	174.723072	15087	TIMEOUT	1800.692725	1801.1123649785295	1388.507136		TIMEOUT	1800.618292	1800.8015055777505	137.097216	
pomdp-families-unsat_mem_2_obstacles-maze-4_2.yml	unsat	false	TIMEOUT	1800.614987	1800.7998396325856	136.335360		false	20.016436	21.411211364902556	177.881088	19181	TIMEOUT	1800.678089	1801.1329042147845	2582.286336		false	274.408387	274.5452360454947	136.560640	1582956
pomdp-families-unsat_mem_3_obstacles-8-3_3.yml	unsat	false	TIMEOUT	1800.616488	1800.8027626425028	136.073216		TIMEOUT	1800.715339	1801.6328356051818	1437.810688		TIMEOUT	1800.74857	1801.1082574380562	1771.945984		TIMEOUT	1800.618119	1800.768132290803	141.434880	
pomdp-families-unsat_mem_3_obstacles-maze-4-2_3.yml	unsat	false	TIMEOUT	1800.614641	1800.8238177699968	136.331264		TIMEOUT	1800.713374	1802.0650764117017	1311.543296		TIMEOUT	1800.634909	1801.0007737185806	486.973440		TIMEOUT	1800.616985	1800.7798483800143	136.491008	
pomdp-families-unsat_mem_3_obstacles-maze-4_3.yml	unsat	false	TIMEOUT	1800.615142	1800.8069878388196	136.237056		TIMEOUT	1800.694007	1801.759232942015	953.397248		TIMEOUT	1800.642413	1800.855177525431	550.805504		TIMEOUT	1800.619172	1800.776752484031	136.355840	
