tool			synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set			PAYNT-Hybrid	PAYNT-Hybrid	PAYNT-Hybrid	PAYNT-Hybrid	PAYNT-Hybrid	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-AR	PAYNT-AR	PAYNT-AR	PAYNT-AR	PAYNT-AR	SMT(LRA)	SMT(LRA)	SMT(LRA)	SMT(LRA)	SMT(LRA)	SMPMC	SMPMC	SMPMC	SMPMC	SMPMC
benchmarks/files/simple-q1/			status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations
jair-unsat_refuel-06-res.yml	unsat	false	false	0.583815	0.7348906435072422	140.603392	1	TIMEOUT	1800.623392	1800.8737336918712	228.564992		false	0.557346	0.6948074819520116	134.356992	1	TIMEOUT	1800.607393	1800.8545223940164	244.322304		false	0.669428	0.8535750154405832	156.672000	33
jair-unsat_tiny_rewards.yml	unsat	false	unknown	0.4002	0.5525527819991112	133.492736		unknown	0.534278	0.6768083227798343	133.472256		false	0.497472	0.6138467956334352	133.439488	1	false	0.366577	0.5592671912163496	156.119040		false	0.47464	0.6686128918081522	155.910144	2
pomdps-unsat_mem_1_4x3-95_1.yml	unsat	false	unknown	0.375383	0.523690422065556	103.100416		unknown	0.556899	0.7124925814568996	103.403520		false	0.500524	0.6416687276214361	105.332736	13	false	1599.382282	1599.6101676467806	176.971776		false	1.404401	1.5857189446687698	140.189696	1459
pomdps-unsat_mem_1_4x5x2-95_1.yml	unsat	false	unknown	0.443198	0.5824548825621605	103.149568		unknown	0.524564	0.6660087630152702	103.186432		false	0.363967	0.48183632362633944	105.463808	13	false	37.492164	37.70843359082937	199.811072		false	0.474597	0.6540419347584248	140.029952	58
pomdps-unsat_mem_1_drone-4-1_1.yml	unsat	false	false	2.905536	3.052015678025782	170.016768	290	TIMEOUT	1800.625115	1800.8736678371206	216.907776		false	1.415435	1.5537972040474415	146.808832	269	TIMEOUT	1800.621205	1800.944045919925	286.662656		TIMEOUT	1800.731869	1800.9967092555016	4304.297984	
pomdps-unsat_mem_1_drone-4-2_1.yml	unsat	false	false	0.804699	0.9505435423925519	153.042944	26	TIMEOUT	1800.623976	1800.8568161176518	258.719744		false	0.619424	0.7784115755930543	132.222976	25	TIMEOUT	1800.617867	1800.966696930118	313.954304		TIMEOUT	1800.683651	1800.9418623587117	2157.113344	
pomdps-unsat_mem_1_hallway_1.yml	unsat	false	unknown	0.946725	1.0776284467428923	163.078144		unknown	1.352912	1.5262461518868804	163.106816		TIMEOUT	1800.737124	1801.0034517841414	3208.200192		TIMEOUT	1800.741204	1801.1776131009683	2918.100992		TIMEOUT	1800.621423	1800.9070876417682	287.498240	
pomdps-unsat_mem_1_maze-alex_1.yml	unsat	false	TIMEOUT	1800.616842	1800.7937752287835	138.907648		false	11.545364	11.691512058489025	146.341888	4762	TIMEOUT	1800.614942	1800.8115266757086	131.670016		false	808.665042	809.0343477614224	160.956416		false	1.217263	1.4763545133173466	154.791936	641
pomdps-unsat_mem_1_milos-aaai97_1.yml	unsat	false	unknown	0.333157	0.46461594570428133	103.194624		unknown	0.538986	0.6888885488733649	103.157760		false	3.410815	3.5404013358056545	108.699648	3469	TIMEOUT	1800.613334	1801.1127171553671	309.198848		false	8.884595	9.034747161902487	140.783616	7929
pomdps-unsat_mem_1_network_1.yml	unsat	false	unknown	0.480008	0.6189302820712328	102.830080		unknown	0.512463	0.661040841601789	102.981632		false	0.35283	0.49532569758594036	105.594880	21	false	0.825201	1.1985167125239968	140.718080		false	0.556766	0.7460420886054635	139.939840	41
